book ID,Book Name,Author,Translator,Publisher,Novel / Poem Etc,Language,Edition,Publication year,ISB No,Rate,Book Type,Remark,txt_BorrowerBookName,txt_Borrower,txt_BorrowerADR,txt_BorrowerMobile,txt_IssueDate,txt_Remarks2
38,38 - The Constitution of India,Author 38,,,Publisher,Language,4,2011,,,Digital PDF,,,,,,,
39,39 - Book 39 - 01,Author 39,,,Publisher,Language,,1958,,,Digital PDF,Remark,,,,,,
40,40 - Book 40 - 02,Author 40,,,Publisher,Language,1,1968,,,Digital PDF,,,,,,,
41,41 - Book 41,Author 41,,,Publisher,Language,1,1987,978-81-8461-878-5,,Digital PDF,,,,,,,
42,42 - Book 42,Author 42,,,Publisher,Language,1,1946,,Remark,Digital PDF,,,,,,,
43,43 - Book 43,Author 43,,,Publisher,Language,1,2019,978-93-5122-859-2,,Digital PDF,ePub Version 3.0.1,,,,,,
44,44 - Eye witness Hunter,Author 44,,,Publisher,Language,,2021,978-93-93795-46-5,,Digital PDF,,,,,,,
45,45 - Book 45,Author 45,,,Publisher,Language,,,,,Digital PDF,,,,,,,
46,46 - Book 46,Author 46,,,Publisher,Language,,,,,Digital PDF,,,,,,,
47,47 - Book 47,Author 47,,,Publisher,Language,1,,,,Digital PDF,,,,,,,
48,48 - Book 48,Author 48,,01 Digital Book,Publisher,Language,,,,,Digital PDF,,,,,,,
49,49 - Handbook on Family Pension,Author 49,,Government of India,Category,Language,1,2020,,"Under CCS ( Pention ) Rules, 1972",Digital PDF,,,,,,,
50,50 - Book 50,Author 50,,,Publisher,Language,,2009,81-288-0711-0,,Digital PDF,,,,,,,
51,51 - Book 51,Author 51,,,Publisher,Language,,,,50,Digital PDF,Remark,,,,,,
52,52 - Book 52,Author 52,,Publisher,Category,Language,,,,,Digital Epub,,,,,,,
53,53 - Book 53,Author 53,,,Publisher,Language,,,,,Digital PDF,,,,,,,
54,54 - Book 54,Author 54,,,Publisher,Language,,,,,Digital PDF,,,,,,,
55,55 - Book 55,Author 55,,01 Digital Book,Publisher,Language,,,,,Digital PDF,,,,,,,
56,56 - Khullam Khulla Rishi Kapoor Uncensor,MEENA IYER,,HarperCollins Publishers,Category,Language,1,2017,978-93-5264-307-3,,Digital PDF,,,,,,,
57,57 - Kya Karen Kya Na Karen,Author 57,,,Publisher,Language,2,,,30,Digital PDF,,,,,,,
58,58 - Book 58,Author 58,Digital Book,Publisher,Language,,06.02.2022,,,Digital PDF,Remark,,,,,,
59,59 - Book 59,Author 59,,,Publisher,Language,,Remark,,,Digital PDF,,,,,,,
60,60 - Book 60,Author 60,,Publisher,Category,Language,,2017,,,Digital PDF,Remark,,,,,,
61,61 - Pakistan or Partition of India,Author 61,,Thacker and company Limited,Category,Language,,1945,,,Digital PDF,,,,,,,
62,"62 - R.D. Burman The Man, the Music - Pancham",Anirudha Bhattacharjee + Balaji Vittal,,HarperCollins Publishers,Category,Language,1,2011,9789350290491,,Digital PDF + Digital Epub,,,,,,,
63,63 - Book 63,Author 63,,Westland Publications Private Limited,Category,Language,1,2019,9789388754361,,Digital PDF,Remark,,,,,,
64,64 - RJ Book 64,Author 64,,Nexus Stories Publication,Category,Language,,,,,,,,,,,,
65,65 - Book 65,Author 65,,HarperCollins Publishers,Category,Language,,,,,Digital Epub,,,,,,,
66,66 - SON OF HAMAS,MOSAB HASSAN YOUSEF - RON BRACKIN,,SaltRiver,Category,Language,,1993,978-1-4143-3668-8,,Digital PDF,,,,,,,
67,67 - Book 67,Author 67,,,Publisher,Language,,2017,978-93-5122-710-6,,Digital PDF,,,,,,,
68,68 THE SECRET,Author 68,,TS Production Limited Liability Company.,Publisher,Language,,2010,978-81-8322-198-6,,Digital PDF,,,,,,,
69,69 - Book 69,Author 69,,,Publisher,Language,,,978-93-81315-89-7,,Digital PDF,,,,,,,
70,70 - Book 70,,,,Publisher,Language,,,,,Digital PDF,,,,,,,
71,71 - Book 71,Author 71,,,Publisher,Language,,,,,Digital PDF,,,,,,,
72,72 - Book 72,Author 72,,,Publisher,Language,,,,,Digital PDF,,,,,,,
73,73 - Book 73,Author 73,,,Publisher,Language,,1970,8123727380,,Digital PDF,Remark,,,,,,
74,74 - Book 74,Author 74,,BlueRose,Category,Language,,,,,Digital PDF,,,,,,,
75,75 - Book 75,Author 75,,,Publisher,Language,,,,1,Digital PDF,,,,,,,
76,76 - Book 76,Author 76,,,Publisher,Language,,,,,Digital PDF,,,,,,,
77,77 - Book 77,,,,Publisher,Language,,,,,Digital PDF,Remark,,,,,,
78,78 - Book 78,Author 78,,,Publisher,Language,,,,,Digital PDF,,,,,,,
79,"79 - Book 79 - 1,2",Author 79,,Publisher,Category,Language,,,,,Digital PDF,,,,,,,
80,80 - Book 80,Author 80,,,Publisher,Language,,,,,Digital PDF,Remark,,,,,,
81,81 - Book 81,Author 81,,,Publisher,Language,,,,,Digital PDF,,,,,,,
82,82 - Book 82,Author 82,,,Publisher,Language,,,,,Digital PDF,,,,,,,
83,83 - Book 83,Leo Tolstoy,,Publisher,Category,Language,,,,,Digital PDF,,,,,,,
84,84 - Book 84,Author 84,,Yogi Impressions LLP,Publisher,Language,,,,,Digital PDF,,,,,,,
85,85 - War Of Lanka by Amish Tripathi,Author 85,,HarperCollins Publishers,Category,Language,,,,,Digital PDF,,,,,,,
86,86 - Book 86,Author 86,,,Publisher,Language,,,,,Digital PDF,,,,,,,
87,87 - Book 87,Author 87,,,Publisher,Language,,,,11,Digital PDF,,,,,,,
88,88 - Book 88,Author 88,,,Publisher,Language,,,,,Digital PDF,,,,,,,
89,89 - Book 89,Author 89,,,Publisher,Language,,,,,Digital Epub,,,,,,,
90,90 - Book 90,Author 90,,,Publisher,Language,,,,,Digital PDF,,,,,,,
91,91 - Book 91,Author 91,,,Publisher,Language,,,,,Digital PDF,,,,,,,
92,92 - Book 92,Author 92,,,Publisher,Language,,,,,Digital PDF,,,,,,,
93,93 - Book 93,Author 93,,,Publisher,Language,1,2010,978-93-84604-06-6,180,Digital PDF,,,,,,,
94,94 - Book 94,Author 94,,,Publisher,Language,,,,,Digital Epub,,,,,,,
95,95 - Book 95,Author 95,,,Publisher,Language,,,,,Digital PDF,,,,,,,
96,96 - Book 96,Author 96,,,Publisher,Language,,,,,Digital PDF,,,,,,,
97,97 - Book 97,Author 97,,,Publisher,Language,3,2021,978-93-5437-251-3,250,Digital PDF,,,,,,,
98,98 - Book 98,Author 98,,,Publisher,Language,2,2023,978-93-5607-247-3,250,Digital PDF,,,,,,,
99,99 - Book 99,Author 99,,,Publisher,Language,1,1972,,,Digital PDF,,,,,,,
100,100 - Book 100,Author 100,,,Publisher,Language,,,,,Digital PDF,,,,,,,
`;
